beer_style,beer_type
IPA - Imperial / Double,IPA
Stout - Coffee,Stout
IPA - New England / Hazy,IPA
Red Ale - American Amber / Red,Ale
IPA - American,IPA
IPA - Imperial / Double New England / Hazy,IPA
Blonde / Golden Ale - American,Ale
Sour - Fruited Berliner Weisse,Sour
Märzen,Other
IPA - Session,IPA
Sour - Berliner Weisse,Sour
Pale Ale - American,Ale
Pale Ale - New England / Hazy,Ale
IPA - Triple,IPA
Stout - Imperial / Double,Stout
Scotch Ale / Wee Heavy,Ale
Kölsch,Other
Lager - Mexican,Lager
Porter - American,Porter
Wheat Beer - Fruited,Wheat
Pilsner - German,Lager
Porter - Imperial / Double,Porter
Cream Ale,Ale
Blonde Ale,Ale
Sour - Fruited,Sour
California Common,Other
Fruit Beer,Other
Lager - American,Lager
Lager - Dark,Lager
Stout - Oatmeal,Stout
Strong Ale - American,Ale
IPA - Milkshake,IPA
Festbier,Other
Wheat Beer - Other,Wheat
Sour - Other,Sour
Brown Ale - American,Ale
Wheat Beer - Witbier / Blanche,Wheat
Stout - American,Stout
Red Ale - Irish,Ale
Porter - Other,Porter
Farmhouse Ale - Saison,Ale
Wild Ale - American,Ale
IPA - Imperial / Double Black,IPA
Spiced / Herbed Beer,Other
Brown Ale - Other,Ale
IPA - Black / Cascadian Dark Ale,IPA
Historical Beer - Kentucky Common,Other
Lager - Munich Dunkel,Lager
Porter - Baltic,Porter
IPA - Rye,IPA
Grodziskie / Grätzer,Other
Historical Beer - Gruit / Ancient Herbed Ale,Ale
Kellerbier / Zwickelbier,Other
Belgian Blonde,Other
Lager - Pale,Ale
Barleywine - English,Other
Other,Other
IPA - English,IPA
Bitter - Extra Special / Strong (ESB),Other
Stout - Other,Stout
Mild - Other,Other
Wheat Beer - Hefeweizen,Wheat
Stout - Imperial / Double Oatmeal,Stout
Rye Beer,Other
IPA - Belgian,IPA
Pale Ale - Belgian,Ale
Lager - American Amber / Red,Ale
Pumpkin / Yam Beer,Other
Pilsner - Other,Lager
Belgian Dubbel,Other
Lager - Vienna,Lager
Schwarzbier,Other
Sour - Traditional Gose,Sour
Rauchbier,Other
Blonde / Golden Ale - Other,Ale
Stout - Irish Dry,Stout
IPA - Triple New England / Hazy,IPA
Porter - Imperial / Double Coffee,Porter
Wheat Beer - American Pale Wheat,Ale
Stout - Imperial / Double Pastry,Stout
Sour - Fruited Gose,Sour
Scottish Ale,Ale
Belgian Tripel,Other
Wheat Beer - Kristallweizen,Wheat
Red Ale - Imperial / Double,Ale
Stout - Milk / Sweet,Stout
Pilsner - Czech / Bohemian,Lager
Bock - Doppelbock,Other
Porter - English,Porter
Lager - Helles,Lager
Lager - Polotmavé (Czech Amber),Lager
Brown Ale - Imperial / Double,Ale
IPA - New Zealand,IPA
Pale Ale - New Zealand,Ale
IPA - White / Wheat,IPA
IPA - Brut,IPA
Stout - Imperial / Double Milk,Stout
Sour - Other Gose,Sour
Porter - Coffee,Porter
IPA - Farmhouse,IPA
Wheat Beer - Wheat Wine,Wheat
IPA - Red,IPA
Belgian Strong Golden Ale,Ale
Hard Ginger Beer,Other
Winter Warmer,Other
Pale Ale - Fruited,Ale
Winter Ale,Ale
Cider - Traditional / Apfelwein,Other
IPA - Sour,IPA
Belgian Quadrupel,Other
Barleywine - Other,Other
Bitter - Session / Ordinary,Other
Stout - English,Stout
Wild Ale - Other,Ale
Brown Ale - English,Ale
Bock - Single / Traditional,Other
Old / Stock Ale,Ale
Belgian Strong Dark Ale,Ale
Scottish Export Ale,Ale
Wheat Beer - Dunkelweizen,Wheat
Bock - Hell / Maibock / Lentebock,Other
Altbier - Traditional,Other
Barleywine - American,Other
Farmhouse Ale - Other,Ale
Altbier - Sticke,Other
Dark Ale,Ale
Smoked Beer,Other
Table Beer,Other
Brown Ale - Belgian,Ale
Lager - Amber / Red,Ale
Strong Ale - English,Ale
IPA - Other,IPA
Shandy / Radler,Other
IPA - Cold,IPA
Lager - American Light,Lager
Lager - IPL (India Pale Lager),Ale
Stout - Russian Imperial,Stout
Stout - Imperial / Double White / Golden,Stout
Mild - Dark,Other
Pale Ale - English,Ale
Historical Beer - Steinbier,Other
Root Beer,Other
Porter - Imperial / Double Baltic,Porter
Bitter - Best,Other
Lager - Tmavé (Czech Dark),Lager
Lager - Other,Lager
Pale Ale - XPA (Extra Pale),Ale
Stout - Oyster,Stout
IPA - Imperial / Double Milkshake,IPA
Mead - Acerglyn / Maple Wine,Other
Stout - Foreign / Export,Stout
Cider - Dry,Other
Red Ale - Other,Ale
Lager - Leichtbier,Lager
Sour - Flanders Red Ale,Ale
Lager - Smoked,Lager
Wheat Beer - Hopfenweisse,Wheat
IPA - Brett,IPA
IPA - Fruited,IPA
